
A16VSBDVWGO1AM,FAIR,FANTASTIC_PLUS,98.2,305,99.35%,0,100%,100%,0,
A1ETXSPHUGD7LN,POOR,FAIR,60.18,978,97.02%,1022,100%,89.47%,0,
A1S4F6JMS94IQI,GREAT,FANTASTIC_PLUS,100,100,100%,-,100%,-,0,
A1ULTTNN14LLJ2,POOR,FANTASTIC_PLUS,93.39,936,98.84%,-,98.41%,100%,0,
A1Y06N9ZPMC3TD,POOR,FANTASTIC_PLUS,96.51,1092,99.82%,916,99.15%,100%,0,
A1Y1BMIL6SS8PT,POOR,FANTASTIC_PLUS,94.24,1035,98.95%,966,100%,100%,0,
A1YEESS4TBTRIY,GREAT,FANTASTIC_PLUS,98.11,726,99.32%,-,100%,100%,0,
A1YGLT6OAJGBWC,POOR,GREAT,79.72,1231,98.72%,812,99.7%,66.67%,0,
A1Z22YRSC4HN45,POOR,FANTASTIC_PLUS,96.33,1071,99.44%,934,100%,100%,0,
A205W0HCLELAJS,POOR,POOR,37.5,210,97.22%,14286,42.31%,100%,0,
A24EJ2KSPHNNBH,POOR,FANTASTIC,87.74,1370,98.63%,730,98.33%,93.33%,0,
A25YIO5GU1WRGQ,POOR,FANTASTIC,92.03,814,98.79%,-,97.39%,100%,0,
A2672ZQHS62UQD,POOR,FAIR,59.59,1088,99.36%,7353,99.2%,75%,0,
A26BX5VZTGG82D,FAIR,FANTASTIC_PLUS,98.02,188,99.47%,0,100%,100%,0,
A273KWGUMRL1WC,POOR,FAIR,50,226,90.4%,-,96.55%,16.67%,0,
A2879TAAF5J1UU,GREAT,FANTASTIC_PLUS,98.85,964,100%,0,98.86%,100%,0,
A29M5B159J19AE,POOR,FAIR,54,1209,97.89%,1654,99.36%,83.33%,0,
A2HY3PEE0I4KO8,POOR,FANTASTIC_PLUS,96.43,1362,99.78%,734,98.99%,100%,0,
A2K5YLZ6PCCGZH,POOR,FAIR,52.66,1142,98.11%,1751,93.46%,100%,0,
A2KNBTJYF1QPFU,POOR,FANTASTIC_PLUS,97.13,1384,99.86%,723,99.2%,-,0,
A2LBJKMTQ6WMO4,POOR,POOR,31.72,1032,97.08%,1938,97.62%,75%,0,
A2N0TIS3GT3RA3,POOR,FANTASTIC,91.34,1065,98.07%,0,98.7%,99.81%,0,
A2X3O7342NU7CC,POOR,FAIR,67.37,1166,98.15%,-,91.67%,78.57%,0,
A2YOCL8PM7MT4S,GREAT,FANTASTIC_PLUS,100,265,100%,-,100%,100%,0,
A310YKEDTBY3SA,GREAT,FANTASTIC_PLUS,99.12,754,99.87%,-,99.38%,100%,0,
A33FLYDPNMXDF,POOR,FANTASTIC_PLUS,96.07,361,98.9%,-,100%,100%,0,
A35G9CHX9CCXQA,POOR,FANTASTIC_PLUS,97.11,1230,99.27%,0,98.97%,100%,0,
A39FXN38RKBA0N,POOR,GREAT,84.6,275,99.28%,-,98.92%,-,0,
A3DMMSGNR396QL,POOR,GREAT,81.17,1183,98.42%,0,96.21%,100%,0,
A3FTEB3HAX9COO,POOR,GREAT,74.18,996,99.8%,3012,100%,100%,0,
A3G3RGIBDUQX62,POOR,GREAT,74.08,280,97.9%,-,98.9%,-,0,
A3HUKJRI41R38I,GREAT,FANTASTIC_PLUS,98.72,217,99.54%,-,100%,100%,0,
A3N49RXVTIEA9V,POOR,POOR,47.68,1228,97.62%,814,64.18%,66.67%,0,
A3OKXFNF06ZM3M,POOR,POOR,47.52,1018,96.31%,982,95.86%,82.61%,0,
A9LXPME9YBI2Q,POOR,FAIR,60.27,1140,97.6%,877,100%,77.78%,0,
ADX5JM3PRIFEI,POOR,FAIR,61.52,1067,94.84%,-,99.13%,50%,0,
A174B3WJFH38MV,POOR,FANTASTIC,92.22,1270,99.22%,787,100%,92.86%,0,
A1BC9YN9NCBUS,POOR,FANTASTIC_PLUS,97.48,942,99.16%,-,100%,100%,0,
A1B8U1WJMIJ0TX,POOR,POOR,45,315,98.75%,12698,100%,0%,1,
ARI0X3K0YGQ13,POOR,GREAT,80.27,1071,98.17%,-,100%,88.46%,0,
