A16VSBDVWGO1AM,FANTASTIC_PLUS,94.86,1094,99.91%,914,97.75%,100%,0,100%,DNR_DPMO
A36RRB6U56R6E,FANTASTIC_PLUS,95.76,1407,99.22%,711,99.84%,100%,0,93.31%,DCR
A2X83BV0285DOP,FANTASTIC_PLUS,97.38,795,99.13%,-,100%,-,0,94.4%,DCR
A3JDIQIBACE5J8,FANTASTIC_PLUS,96.09,1019,99.03%,-,99.12%,100%,0,90.62%,DCR
A3OKXFNF06ZM3M,FANTASTIC_PLUS,98.88,221,99.55%,-,100%,100%,0,100%,DCR
A23JB5ESMGEN19,FANTASTIC_PLUS,96.14,362,98.91%,-,100%,100%,0,100%,DCR
A2FG70XIV2T8R4,FANTASTIC_PLUS,100,19,100%,-,100%,-,0,-,-
A2H6YG1PWYRM00,FANTASTIC_PLUS,93.6,519,98.48%,-,100%,100%,0,93.78%,DCR
A300ZXXYN0NUQG,FANTASTIC_PLUS,94.37,1027,98.56%,0,100%,100%,0,100%,DCR
A36AKBB8OCHGCY,FANTASTIC_PLUS,99.29,798,100.13%,-,100%,100%,0,91.24%,DEX
A2A1YLSUZ0SOFP,FANTASTIC_PLUS,93.08,185,98.4%,-,100%,-,0,90.71%,DCR
A2APJPUT9881K4,FANTASTIC_PLUS,97.82,994,99.3%,-,100%,100%,0,97.03%,DCR
A204JDS9UYZE78,FANTASTIC_PLUS,99.03,338,100%,-,100%,100%,0,88%,DEX
AIUPWGWV32NEW,FANTASTIC_PLUS,97.72,1393,99.15%,0,100%,100%,0,98.02%,DCR
A1ZYBYZTR4ESM6,FANTASTIC_PLUS,96.8,860,99.31%,-,98.85%,100%,0,96.07%,DCR
A1V3GTMNXU4UTV,FANTASTIC_PLUS,95.7,301,99.01%,-,98.61%,100%,0,100%,DCR
A1Z7DJSAEEW6FM,FANTASTIC_PLUS,93.93,763,99.48%,1311,98.27%,100%,0,94.18%,DNR_DPMO
A18NQGO3MI3F8P,FANTASTIC_PLUS,98.97,1074,99.63%,-,100%,100%,0,100%,DCR
A1M8ZRC8HAP4RN,FANTASTIC_PLUS,100,206,100%,0,100%,-,0,100%,-
A17V5B9BV24ARP,FANTASTIC_PLUS,99.36,440,99.77%,-,100%,100%,0,100%,DCR
A12AN97GB35ARA,FANTASTIC_PLUS,97.7,359,99.17%,-,100%,100%,0,100%,DCR
A9LXPME9YBI2Q,FANTASTIC_PLUS,94.39,958,98.66%,-,100%,100%,0,96.21%,DCR
A3EGVBE1FXN4N5,FANTASTIC_PLUS,100,50,100%,-,100%,-,0,100%,-
A310YKEDTBY3SA,FANTASTIC_PLUS,96.94,1204,99.34%,-,99.52%,100%,0,89.68%,DCR
